"analysis","repeat_id","metric","estimate"
"zero_gleason_exclusion",9,"calibration_slope",0.919962683982491
"zero_gleason_exclusion",10,"auc",0.807058823529412
"zero_gleason_exclusion",10,"brier",0.175503310222919
"zero_gleason_exclusion",10,"log_loss",0.525017947706431
"zero_gleason_exclusion",10,"calibration_intercept",-0.0101801672236066
"zero_gleason_exclusion",10,"calibration_slope",0.901184093272083
"zero_gleason_exclusion",11,"auc",0.80560639070443
"zero_gleason_exclusion",11,"brier",0.174997505283354
"zero_gleason_exclusion",11,"log_loss",0.524498151333431
"zero_gleason_exclusion",11,"calibration_intercept",0.00236551593975883
"zero_gleason_exclusion",11,"calibration_slope",0.906644472076552
"zero_gleason_exclusion",12,"auc",0.810108932461874
"zero_gleason_exclusion",12,"brier",0.173089508158483
"zero_gleason_exclusion",12,"log_loss",0.519405343676311
"zero_gleason_exclusion",12,"calibration_intercept",-0.00340398102531395
"zero_gleason_exclusion",12,"calibration_slope",0.927396673865945
"zero_gleason_exclusion",13,"auc",0.808976034858388
"zero_gleason_exclusion",13,"brier",0.173784027886959
"zero_gleason_exclusion",13,"log_loss",0.521062041510075
"zero_gleason_exclusion",13,"calibration_intercept",-0.00834507147403327
"zero_gleason_exclusion",13,"calibration_slope",0.931074919877361
"zero_gleason_exclusion",14,"auc",0.808046477850399
"zero_gleason_exclusion",14,"brier",0.173745535899072
"zero_gleason_exclusion",14,"log_loss",0.521787060870014
"zero_gleason_exclusion",14,"calibration_intercept",-0.0064006162991456
"zero_gleason_exclusion",14,"calibration_slope",0.912236222956892
"zero_gleason_exclusion",15,"auc",0.810893246187364
"zero_gleason_exclusion",15,"brier",0.173032545963308
"zero_gleason_exclusion",15,"log_loss",0.518077762744998
"zero_gleason_exclusion",15,"calibration_intercept",-0.002490790532413
"zero_gleason_exclusion",15,"calibration_slope",0.930301833014153
"zero_gleason_exclusion",16,"auc",0.806768336964415
"zero_gleason_exclusion",16,"brier",0.17450626200002
"zero_gleason_exclusion",16,"log_loss",0.523897914571475
"zero_gleason_exclusion",16,"calibration_intercept",-0.0015071832909403
"zero_gleason_exclusion",16,"calibration_slope",0.907979158084899
"zero_gleason_exclusion",17,"auc",0.812490922294844
"zero_gleason_exclusion",17,"brier",0.171909546784832
"zero_gleason_exclusion",17,"log_loss",0.515928559541833
"zero_gleason_exclusion",17,"calibration_intercept",-0.00990155109900481
"zero_gleason_exclusion",17,"calibration_slope",0.932258187998656
"zero_gleason_exclusion",18,"auc",0.808249818445897
"zero_gleason_exclusion",18,"brier",0.173701123113394
"zero_gleason_exclusion",18,"log_loss",0.521963142768727
"zero_gleason_exclusion",18,"calibration_intercept",0.00309335976060967
"zero_gleason_exclusion",18,"calibration_slope",0.911503119745198
"zero_gleason_exclusion",19,"auc",0.801336238198983
"zero_gleason_exclusion",19,"brier",0.176664506798349
"zero_gleason_exclusion",19,"log_loss",0.529431176234576
"zero_gleason_exclusion",19,"calibration_intercept",-0.00396058202744431
"zero_gleason_exclusion",19,"calibration_slope",0.881466801366637
"zero_gleason_exclusion",20,"auc",0.803311546840959
"zero_gleason_exclusion",20,"brier",0.175256184996194
"zero_gleason_exclusion",20,"log_loss",0.525922835385152
"zero_gleason_exclusion",20,"calibration_intercept",-0.00491945986203041
"zero_gleason_exclusion",20,"calibration_slope",0.890733471390592
"volume_exploratory",1,"auc",0.817195013100688
"volume_exploratory",1,"brier",0.169948021012487
"volume_exploratory",1,"log_loss",0.512898216871073
"volume_exploratory",1,"calibration_intercept",-0.00607685611238438
"volume_exploratory",1,"calibration_slope",0.915059969477484
"volume_exploratory",2,"auc",0.805246033802655
"volume_exploratory",2,"brier",0.175627935073109
"volume_exploratory",2,"log_loss",0.529262326683668
"volume_exploratory",2,"calibration_intercept",0.00924953496335209
"volume_exploratory",2,"calibration_slope",0.853458481810842
"volume_exploratory",3,"auc",0.812242665054274
"volume_exploratory",3,"brier",0.172509317783035
"volume_exploratory",3,"log_loss",0.519080080535233
"volume_exploratory",3,"calibration_intercept",0.00484261972885164
"volume_exploratory",3,"calibration_slope",0.887712346553473
"volume_exploratory",4,"auc",0.817396562149089
"volume_exploratory",4,"brier",0.169974652467292
"volume_exploratory",4,"log_loss",0.513347806093171
"volume_exploratory",4,"calibration_intercept",-0.000948386805105112
"volume_exploratory",4,"calibration_slope",0.915030193958455
"volume_exploratory",5,"auc",0.812789726757076
"volume_exploratory",5,"brier",0.172074051350314
