"repeat_id","fold","model","analysis_observations","analysis_events","assessment_observations","assessment_events","converged","iterations","minimum_prediction","maximum_prediction"
7,7,"nonlinear_psa",342,138,38,15,TRUE,6,0.00352160865972146,0.99207209827733
7,8,"historical_benchmark",343,138,37,15,TRUE,5,0.000371757798524964,0.977483229418167
7,8,"primary_modern",343,138,37,15,TRUE,4,0.000167765018505931,0.934624913204862
7,8,"nonlinear_psa",343,138,37,15,TRUE,5,2.86762772049472e-05,0.968527207155148
7,9,"historical_benchmark",343,138,37,15,TRUE,5,0.0514402070778586,0.850616119591568
7,9,"primary_modern",343,138,37,15,TRUE,5,0.0527721507978708,0.862690475802049
7,9,"nonlinear_psa",343,138,37,15,TRUE,6,0.0615608028672657,0.865587062837366
7,10,"historical_benchmark",343,138,37,15,TRUE,5,0.0798802026272483,0.989742751133798
7,10,"primary_modern",343,138,37,15,TRUE,5,0.0371644958742192,0.917437747216948
7,10,"nonlinear_psa",343,138,37,15,TRUE,6,0.00451099081134687,0.971372779082337
8,1,"historical_benchmark",341,137,39,16,TRUE,5,0.000334521114517801,0.997186730518979
8,1,"primary_modern",341,137,39,16,TRUE,5,0.000415177676811556,0.980186245654859
8,1,"nonlinear_psa",341,137,39,16,TRUE,6,0.00044478443974034,0.994267473013632
8,2,"historical_benchmark",341,137,39,16,TRUE,5,0.0412212823583124,0.962989140678349
8,2,"primary_modern",341,137,39,16,TRUE,5,0.0437365297740828,0.896631630885957
8,2,"nonlinear_psa",341,137,39,16,TRUE,6,0.0492606542027503,0.935333557005073
8,3,"historical_benchmark",341,137,39,16,TRUE,5,0.0532142529405352,0.972513041982685
8,3,"primary_modern",341,137,39,16,TRUE,5,0.0550437567007541,0.966310981656217
8,3,"nonlinear_psa",341,137,39,16,TRUE,5,0.0613131291464697,0.968378857678995
8,4,"historical_benchmark",342,138,38,15,TRUE,5,0.0467985155402576,0.927894408043597
8,4,"primary_modern",342,138,38,15,TRUE,5,0.0356412603645318,0.866313860322106
8,4,"nonlinear_psa",342,138,38,15,TRUE,5,0.0164413230578806,0.902463244541222
8,5,"historical_benchmark",342,138,38,15,TRUE,5,0.000203746577685483,0.947412896145264
8,5,"primary_modern",342,138,38,15,TRUE,5,8.99214152598386e-05,0.955099549729501
8,5,"nonlinear_psa",342,138,38,15,TRUE,5,1.44608321770557e-05,0.942364148528382
8,6,"historical_benchmark",342,138,38,15,TRUE,5,0.0339779715917796,0.992420601748829
8,6,"primary_modern",342,138,38,15,TRUE,5,0.0172315830967327,0.978578594981374
8,6,"nonlinear_psa",342,138,38,15,TRUE,6,0.00774342683556151,0.98371630114144
8,7,"historical_benchmark",342,138,38,15,TRUE,5,0.0939249692121495,0.988863680981894
8,7,"primary_modern",342,138,38,15,TRUE,5,0.0516299785254104,0.973274656727214
8,7,"nonlinear_psa",342,138,38,15,TRUE,6,0.0250282676570474,0.983533719644259
