"model","repeat_id","metric","estimate"
"primary_modern",13,"brier",0.172868758225288
"primary_modern",13,"log_loss",0.518319031813323
"primary_modern",13,"calibration_intercept",-0.00834239404279392
"primary_modern",13,"calibration_slope",0.931095757879517
"primary_modern",14,"auc",0.809708905588667
"primary_modern",14,"brier",0.172830657207411
"primary_modern",14,"log_loss",0.519041472981528
"primary_modern",14,"calibration_intercept",-0.00639841489284338
"primary_modern",14,"calibration_slope",0.912301976879714
"primary_modern",15,"auc",0.812559384987475
"primary_modern",15,"brier",0.172121281741565
"primary_modern",15,"log_loss",0.51535107581344
"primary_modern",15,"calibration_intercept",-0.00248678042868228
"primary_modern",15,"calibration_slope",0.930347679957668
"primary_modern",16,"auc",0.808470818577064
"primary_modern",16,"brier",0.173587265911178
"primary_modern",16,"log_loss",0.521140757611386
"primary_modern",16,"calibration_intercept",-0.00150481660117225
"primary_modern",16,"calibration_slope",0.908039540662431
"primary_modern",17,"auc",0.81411419193228
"primary_modern",17,"brier",0.171004813697954
"primary_modern",17,"log_loss",0.513214855892205
"primary_modern",17,"calibration_intercept",-0.00990288121159427
"primary_modern",17,"calibration_slope",0.932293770136409
"primary_modern",18,"auc",0.809939247358268
"primary_modern",18,"brier",0.172786429603392
"primary_modern",18,"log_loss",0.519216106669136
"primary_modern",18,"calibration_intercept",0.00309516718576171
"primary_modern",18,"calibration_slope",0.91154911689642
"primary_modern",19,"auc",0.803086579712649
"primary_modern",19,"brier",0.175734066421976
"primary_modern",19,"log_loss",0.526645288784003
"primary_modern",19,"calibration_intercept",-0.00396636878665364
"primary_modern",19,"calibration_slope",0.881562403626859
"primary_modern",20,"auc",0.805044484754254
"primary_modern",20,"brier",0.174332834407047
