"repeat_id","fold","analysis","classification","analysis_observations","analysis_events","assessment_observations","assessment_events","converged","iterations","minimum_prediction","maximum_prediction"
19,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000754163342283091,0.97486030683959
19,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0335814440451283,0.978732895582836
19,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0599581119624412,0.850033594274391
19,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0412173586574649,0.972908899883578
19,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000130961155089472,0.870573780557353
19,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0318264797770477,0.951871659254601
19,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0412373338734359,0.975826144909058
19,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0405430017242092,0.949393239173916
19,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0496991705648933,0.915948525613769
19,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0507018158963944,0.97772995834194
20,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000256369336276867,0.943388288920488
20,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0336409006228582,0.980004756659254
20,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.00012969209222447,0.98274451445385
20,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.050000802095145,0.915447173488607
20,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0306016001005799,0.965615449920298
20,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0512529956424898,0.968520722110806
20,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0247452246015731,0.903972053753565
20,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0800584025853158,0.910481941176058
20,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0284014953872622,0.970004935358998
20,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0282836152849438,0.973351617112574
1,1,"zero_gleason_exclusion","Data-quality sensitivity",339,137,39,16,TRUE,4,0.0188121458114304,0.974644892378535
1,2,"zero_gleason_exclusion","Data-quality sensitivity",340,137,38,16,TRUE,4,0.028462994827747,0.964129343026724
1,3,"zero_gleason_exclusion","Data-quality sensitivity",340,137,38,16,TRUE,4,0.0187307457419287,0.9449429980319
1,4,"zero_gleason_exclusion","Data-quality sensitivity",340,138,38,15,TRUE,4,0.0314176999532391,0.905411514169516
1,5,"zero_gleason_exclusion","Data-quality sensitivity",340,138,38,15,TRUE,4,0.0407273297617867,0.942722857676263
1,6,"zero_gleason_exclusion","Data-quality sensitivity",340,138,38,15,TRUE,4,0.0509606012668145,0.982931906991177
1,7,"zero_gleason_exclusion","Data-quality sensitivity",340,138,38,15,TRUE,4,0.0661222936065069,0.951722780208938
1,8,"zero_gleason_exclusion","Data-quality sensitivity",341,138,37,15,TRUE,4,0.0431266732990727,0.957782561811436
1,9,"zero_gleason_exclusion","Data-quality sensitivity",341,138,37,15,TRUE,4,0.0410098876831236,0.943659741011174
1,10,"zero_gleason_exclusion","Data-quality sensitivity",341,138,37,15,TRUE,4,0.0499767071523252,0.971400349112796
2,1,"zero_gleason_exclusion","Data-quality sensitivity",339,137,39,16,TRUE,5,0.0618701043007087,0.836902870728646
2,2,"zero_gleason_exclusion","Data-quality sensitivity",339,137,39,16,TRUE,4,0.0295253337663733,0.867676440596929
2,3,"zero_gleason_exclusion","Data-quality sensitivity",339,137,39,16,TRUE,4,0.0527074726184769,0.973487364952895
2,4,"zero_gleason_exclusion","Data-quality sensitivity",341,138,37,15,TRUE,4,0.0291261704966233,0.887861611135511
2,5,"zero_gleason_exclusion","Data-quality sensitivity",341,138,37,15,TRUE,4,0.053592947582641,0.920315517878975
2,6,"zero_gleason_exclusion","Data-quality sensitivity",340,138,38,15,TRUE,4,0.0190391793145147,0.981941392301456
2,7,"zero_gleason_exclusion","Data-quality sensitivity",340,138,38,15,TRUE,4,0.0393370267124033,0.963117767362593
2,8,"zero_gleason_exclusion","Data-quality sensitivity",341,138,37,15,TRUE,5,0.0223361032529922,0.965842878499058
2,9,"zero_gleason_exclusion","Data-quality sensitivity",341,138,37,15,TRUE,4,0.0533658001960816,0.933927747160667
2,10,"zero_gleason_exclusion","Data-quality sensitivity",341,138,37,15,TRUE,4,0.019109485365082,0.971704549024487
3,1,"zero_gleason_exclusion","Data-quality sensitivity",339,137,39,16,TRUE,4,0.0247032906665889,0.949405140907186
3,2,"zero_gleason_exclusion","Data-quality sensitivity",339,137,39,16,TRUE,4,0.0348027292862594,0.881575615105863
